="OLS Regression by Price Group"

="",="(1)",="(2)",="(3)",="(4)"
="",="House_Price",="House_Price",="House_Price",="House_Price"

="Square_Footage",="199.8***",="197.6***",="197.1***",="197.5***"
="",="(0.248)",="(1.130)",="(1.249)",="(1.269)"

="House_Age",="-991.4***",="-975.2***",="-977.1***",="-986.7***"
="",="(15.06)",="(25.86)",="(27.25)",="(27.37)"

="Num_Bedrooms",="10163.0***",="9832.3***",="10262.8***",="10212.8***"
="",="(218.8)",="(375.7)",="(360.0)",="(412.3)"

="Num_Bathrooms",="8249.3***",="8474.6***",="8203.2***",="7756.2***"
="",="(378.6)",="(650.1)",="(636.1)",="(692.3)"

="Lot_Size",="14926.0***",="14319.1***",="14891.1***",="15168.6***"
="",="(240.4)",="(437.2)",="(399.5)",="(429.8)"

="Garage_Size",="5156.3***",="5455.6***",="4272.4***",="5759.3***"
="",="(383.3)",="(674.2)",="(628.4)",="(694.2)"

="Constant",="1189.0",="4947.9*",="8615.8*",="10623.9*"
="",="(1505.1)",="(2896.7)",="(4465.3)",="(5791.4)"

="Observations",="1000",="334",="333",="333"
="R-squared",="0.999",="0.990",="0.987",="0.988"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
